transaction_id,customer_id,product_id,date,quantity,unit_price_usd,discount_pct,revenue_usd,cost_usd,profit_usd,shipping_cost_usd,channel,payment_method,status,country,category
TXN000035,CUST04830,PROD0325,2024-10-07,4,147.96,0.1,532.66,266.32,266.34,0.0,email,credit_card,completed,Germany,Clothing
TXN000036,CUST05699,PROD0429,2022-06-05,3,121.23,0.0,363.69,163.65,200.04,57.35,direct,paypal,cancelled,Sweden,Clothing
TXN000037,CUST05880,PROD0218,2022-04-25,1,96.97,0.0,96.97,38.79,58.18,24.41,email,credit_card,completed,Germany,Beauty & Health
TXN000038,CUST05311,PROD0069,2022-12-23,3,165.68,0.0,497.04,223.68,273.36,33.53,paid_search,credit_card,completed,UK,Clothing
TXN000039,CUST05893,PROD0085,2023-09-24,1,267.82,0.05,254.43,147.3,107.13,15.09,email,credit_card,completed,Germany,Sports & Outdoors
TXN000040,CUST02717,PROD0371,2022-05-15,1,189.14,0.0,189.14,113.48,75.66,19.01,social_media,paypal,completed,France,Home & Kitchen
TXN000041,CUST06089,PROD0493,2024-03-15,1,267.24,0.0,267.24,146.98,120.26,14.72,referral,paypal,completed,Canada,Sports & Outdoors
TXN000042,CUST01696,PROD0144,2023-10-05,2,103.98,0.0,207.96,83.18,124.78,18.21,social_media,paypal,completed,USA,Beauty & Health
TXN000043,CUST02386,PROD0388,2024-04-24,1,29.81,0.05,28.32,19.38,8.94,0.0,email,credit_card,completed,France,Books
TXN000044,CUST00297,PROD0107,2023-02-06,2,291.18,0.0,582.36,262.06,320.3,19.44,email,credit_card,completed,Italy,Clothing
TXN000045,CUST07053,PROD0235,2023-04-08,1,203.53,0.2,162.82,91.59,71.23,0.0,social_media,credit_card,completed,Netherlands,Clothing
TXN000046,CUST05436,PROD0472,2024-07-02,2,201.63,0.2,322.61,241.96,80.65,0.0,organic_search,debit_card,completed,Canada,Home & Kitchen
TXN000047,CUST07391,PROD0282,2022-11-14,6,254.3,0.05,1449.51,686.58,762.93,144.34,email,credit_card,completed,France,Clothing
TXN000048,CUST02436,PROD0205,2023-03-14,2,58.28,0.05,110.73,75.76,34.97,5.89,direct,debit_card,completed,UK,Books
TXN000049,CUST06991,PROD0149,2022-01-20,1,269.0,0.05,255.55,147.95,107.6,22.84,direct,paypal,completed,Australia,Sports & Outdoors
TXN000050,CUST04376,PROD0452,2023-10-04,2,109.58,0.0,219.16,98.62,120.54,40.61,email,credit_card,refunded,Germany,Clothing
TXN000051,CUST06327,PROD0194,2024-08-22,5,470.77,0.05,2236.16,1294.6,941.56,0.0,organic_search,credit_card,completed,Australia,Sports & Outdoors
TXN000052,CUST04046,PROD0484,2022-02-12,2,127.09,0.0,254.18,114.38,139.8,36.67,email,paypal,completed,UK,Clothing
TXN000053,CUST00183,PROD0329,2023-11-25,7,99.31,0.05,660.41,312.83,347.58,178.6,email,credit_card,completed,Netherlands,Clothing
TXN000054,CUST03809,PROD0364,2024-08-15,1,83.65,0.2,66.92,50.19,16.73,0.0,social_media,paypal,completed,USA,Home & Kitchen
TXN000055,CUST05992,PROD0173,2023-07-25,2,405.49,0.05,770.43,446.04,324.39,0.0,organic_search,apple_pay,completed,Germany,Sports & Outdoors
TXN000056,CUST07716,PROD0465,2022-12-18,1,825.72,0.0,825.72,619.29,206.43,10.42,social_media,apple_pay,completed,Australia,Electronics
TXN000057,CUST04878,PROD0043,2024-12-29,1,162.13,0.05,154.02,72.96,81.06,14.72,email,bank_transfer,completed,Canada,Clothing
TXN000058,CUST05541,PROD0246,2022-04-04,1,160.68,0.05,152.65,72.31,80.34,0.0,direct,paypal,completed,USA,Clothing
TXN000059,CUST07254,PROD0198,2022-09-21,1,436.0,0.15,370.6,327.0,43.6,11.83,paid_search,debit_card,refunded,Netherlands,Electronics
TXN000060,CUST06084,PROD0084,2024-09-30,4,92.75,0.0,371.0,185.52,185.48,38.4,email,credit_card,completed,USA,Toys & Games
TXN000061,CUST06628,PROD0285,2022-12-07,5,253.9,0.05,1206.02,571.25,634.77,0.0,organic_search,credit_card,completed,Canada,Clothing
TXN000062,CUST05665,PROD0416,2024-07-16,1,143.63,0.05,136.45,64.63,71.82,6.59,paid_search,paypal,completed,France,Clothing
TXN000063,CUST04236,PROD0355,2022-12-31,1,43.67,0.15,37.12,28.39,8.73,0.81,organic_search,paypal,completed,UK,Books
TXN000064,CUST05547,PROD0115,2024-07-07,2,685.06,0.05,1301.61,1027.58,274.03,0.0,social_media,paypal,completed,USA,Electronics
TXN000065,CUST01068,PROD0460,2024-01-28,1,40.19,0.0,40.19,20.09,20.1,8.73,email,paypal,completed,USA,Toys & Games
TXN000066,CUST00919,PROD0364,2023-06-26,1,83.65,0.0,83.65,50.19,33.46,0.57,organic_search,credit_card,completed,Italy,Home & Kitchen
TXN000067,CUST03000,PROD0347,2023-08-28,2,266.22,0.15,452.57,239.6,212.97,35.75,paid_search,credit_card,completed,Spain,Clothing
TXN000068,CUST01068,PROD0326,2022-08-14,1,190.07,0.0,190.07,114.04,76.03,8.37,social_media,credit_card,completed,USA,Home & Kitchen
TXN000069,CUST03102,PROD0343,2022-06-02,2,233.52,0.05,443.69,210.16,233.53,0.0,organic_search,credit_card,completed,Canada,Clothing
TXN000070,CUST07229,PROD0276,2024-03-16,3,790.5,0.05,2252.92,1778.64,474.28,87.52,social_media,debit_card,completed,Australia,Electronics
TXN000071,CUST06207,PROD0286,2024-08-18,2,135.76,0.1,244.37,162.92,81.45,0.0,referral,debit_card,completed,USA,Home & Kitchen
TXN000072,CUST02045,PROD0327,2024-03-23,1,185.98,0.0,185.98,74.39,111.59,22.44,paid_search,credit_card,completed,Spain,Beauty & Health
TXN000073,CUST07433,PROD0321,2024-10-28,1,55.81,0.0,55.81,27.91,27.9,11.94,social_media,credit_card,completed,USA,Toys & Games
TXN000074,CUST00595,PROD0458,2024-10-05,5,127.97,0.05,607.86,287.95,319.91,57.92,organic_search,credit_card,completed,Netherlands,Clothing
TXN000075,CUST03985,PROD0081,2024-05-28,1,402.64,0.05,382.51,221.45,161.06,14.28,paid_search,credit_card,completed,Italy,Sports & Outdoors
TXN000076,CUST01251,PROD0229,2024-10-13,6,1159.1,0.05,6606.87,5215.92,1390.95,65.29,organic_search,credit_card,completed,Italy,Electronics
TXN000077,CUST02506,PROD0247,2022-08-01,1,312.21,0.2,249.77,187.33,62.44,4.65,email,paypal,completed,USA,Home & Kitchen
TXN000078,CUST02898,PROD0406,2024-04-03,6,21.17,0.05,120.67,57.18,63.49,0.0,social_media,paypal,completed,USA,Clothing
TXN000079,CUST03284,PROD0432,2024-04-30,4,68.56,0.0,274.24,164.56,109.68,54.76,paid_search,paypal,completed,Netherlands,Home & Kitchen
TXN000080,CUST05422,PROD0398,2022-07-17,4,1104.52,0.05,4197.18,3313.56,883.62,0.0,email,credit_card,completed,UK,Electronics
TXN000081,CUST05248,PROD0267,2024-10-25,1,792.46,0.05,752.84,594.35,158.49,0.7,paid_search,apple_pay,completed,Spain,Electronics
TXN000082,CUST04163,PROD0475,2022-01-13,4,50.48,0.05,191.82,131.24,60.58,104.98,email,paypal,refunded,Germany,Books
TXN000083,CUST01944,PROD0195,2023-05-17,4,83.69,0.0,334.76,184.12,150.64,53.04,direct,credit_card,completed,Canada,Sports & Outdoors
TXN000084,CUST02685,PROD0018,2022-02-01,1,64.23,0.0,64.23,32.12,32.11,23.11,organic_search,apple_pay,completed,UK,Toys & Games
TXN000085,CUST01490,PROD0134,2023-08-29,1,771.23,0.05,732.67,578.42,154.25,14.26,organic_search,credit_card,completed,UK,Electronics
TXN000086,CUST00545,PROD0276,2023-04-21,2,790.5,0.05,1501.95,1185.76,316.19,0.0,paid_search,credit_card,completed,France,Electronics
TXN000087,CUST02656,PROD0358,2023-12-02,1,139.99,0.0,139.99,83.99,56.0,20.98,organic_search,credit_card,completed,UK,Home & Kitchen
TXN000088,CUST04474,PROD0321,2024-05-15,2,55.81,0.05,106.04,55.82,50.22,0.0,organic_search,credit_card,completed,UK,Toys & Games
TXN000089,CUST04088,PROD0246,2024-05-17,1,160.68,0.1,144.61,72.31,72.3,20.95,paid_search,apple_pay,completed,France,Clothing
TXN000090,CUST05168,PROD0406,2024-03-23,1,21.17,0.1,19.05,9.53,9.52,0.0,organic_search,credit_card,completed,USA,Clothing
TXN000091,CUST02009,PROD0352,2022-05-17,2,19.94,0.0,39.88,25.92,13.96,6.45,organic_search,apple_pay,completed,USA,Books
TXN000092,CUST03553,PROD0385,2023-04-27,1,136.22,0.05,129.41,81.73,47.68,9.29,email,paypal,completed,France,Home & Kitchen
TXN000093,CUST07694,PROD0271,2024-07-12,2,71.22,0.05,135.32,64.1,71.22,0.0,organic_search,paypal,completed,France,Clothing
TXN000094,CUST02635,PROD0102,2023-12-23,1,99.59,0.05,94.61,54.77,39.84,6.32,email,apple_pay,completed,Canada,Sports & Outdoors
TXN000095,CUST03389,PROD0392,2024-01-22,1,15.36,0.0,15.36,9.98,5.38,12.18,paid_search,credit_card,completed,USA,Books
TXN000096,CUST00729,PROD0185,2022-10-09,2,638.25,0.0,1276.5,957.38,319.12,6.0,organic_search,paypal,completed,USA,Electronics
TXN000097,CUST01070,PROD0313,2022-12-26,1,161.79,0.0,161.79,64.72,97.07,3.21,direct,bank_transfer,completed,USA,Beauty & Health
TXN000098,CUST05114,PROD0178,2024-12-01,4,147.26,0.0,589.04,265.08,323.96,19.26,paid_search,debit_card,completed,Canada,Clothing
TXN000099,CUST07584,PROD0452,2024-08-16,1,109.58,0.05,104.1,49.31,54.79,11.28,direct,credit_card,completed,USA,Clothing
TXN000100,CUST07458,PROD0468,2022-07-30,1,1163.22,0.05,1105.06,872.41,232.65,0.0,direct,paypal,completed,UK,Electronics
TXN000101,CUST04376,PROD0463,2023-09-22,2,424.76,0.0,849.52,467.24,382.28,36.13,organic_search,credit_card,completed,Germany,Sports & Outdoors
TXN000102,CUST03722,PROD0084,2023-07-21,1,92.75,0.0,92.75,46.38,46.37,17.28,paid_search,credit_card,completed,Spain,Toys & Games
TXN000103,CUST07717,PROD0454,2023-05-27,4,32.31,0.05,122.78,84.0,38.78,38.22,paid_search,credit_card,completed,USA,Books
TXN000104,CUST04350,PROD0135,2023-06-28,2,454.09,0.2,726.54,681.14,45.4,53.24,direct,paypal,completed,France,Electronics
TXN000105,CUST07458,PROD0080,2023-12-16,1,93.07,0.05,88.42,55.84,32.58,0.0,paid_search,credit_card,completed,UK,Home & Kitchen
TXN000106,CUST06522,PROD0126,2024-12-09,1,416.46,0.05,395.64,229.05,166.59,0.0,social_media,paypal,completed,USA,Sports & Outdoors
TXN000107,CUST04000,PROD0466,2024-09-19,2,364.26,0.1,655.67,400.68,254.99,0.0,paid_search,credit_card,refunded,USA,Sports & Outdoors
TXN000108,CUST01713,PROD0329,2024-09-18,1,99.31,0.05,94.34,44.69,49.65,0.0,organic_search,credit_card,completed,Italy,Clothing
TXN000109,CUST03964,PROD0094,2024-02-27,6,12.23,0.0,73.38,47.7,25.68,134.62,organic_search,credit_card,completed,France,Books
TXN000110,CUST05743,PROD0365,2022-01-26,1,683.9,0.0,683.9,512.92,170.98,9.4,paid_search,credit_card,completed,Spain,Electronics
TXN000111,CUST05788,PROD0452,2023-05-24,6,109.58,0.1,591.73,295.86,295.87,121.82,paid_search,apple_pay,completed,Italy,Clothing
TXN000112,CUST06725,PROD0363,2023-08-14,1,130.44,0.0,130.44,65.22,65.22,3.75,paid_search,apple_pay,completed,France,Toys & Games
TXN000113,CUST03599,PROD0151,2024-08-11,1,54.77,0.0,54.77,32.86,21.91,0.38,organic_search,credit_card,completed,UK,Home & Kitchen
TXN000114,CUST03871,PROD0047,2024-11-06,6,449.77,0.1,2428.76,1484.22,944.54,153.41,organic_search,paypal,completed,UK,Sports & Outdoors
TXN000115,CUST00268,PROD0021,2023-06-05,1,273.61,0.0,273.61,150.49,123.12,4.96,social_media,debit_card,completed,Canada,Sports & Outdoors
TXN000116,CUST03255,PROD0145,2022-12-09,7,338.79,0.05,2252.95,1304.31,948.64,123.61,paid_search,credit_card,completed,UK,Sports & Outdoors
TXN000117,CUST06397,PROD0167,2023-01-07,2,47.25,0.05,89.78,47.24,42.54,39.69,social_media,credit_card,cancelled,Germany,Toys & Games
TXN000118,CUST04865,PROD0108,2023-10-28,4,173.23,0.1,623.63,415.76,207.87,80.03,referral,apple_pay,completed,UK,Home & Kitchen
TXN000119,CUST00282,PROD0453,2022-11-20,1,245.87,0.0,245.87,110.64,135.23,24.25,organic_search,bank_transfer,completed,UK,Clothing
TXN000120,CUST01875,PROD0336,2024-10-26,1,52.69,0.0,52.69,34.25,18.44,14.18,paid_search,paypal,completed,Canada,Books
TXN000121,CUST05265,PROD0012,2023-04-29,1,728.85,0.2,583.08,546.64,36.44,0.0,paid_search,credit_card,completed,Sweden,Electronics
TXN000122,CUST05452,PROD0454,2024-12-25,1,32.31,0.05,30.69,21.0,9.69,9.56,social_media,credit_card,completed,USA,Books
TXN000123,CUST05478,PROD0239,2022-05-26,4,58.83,0.25,176.49,105.88,70.61,0.0,social_media,paypal,completed,Canada,Clothing
TXN000124,CUST02913,PROD0207,2022-08-26,1,427.1,0.05,405.74,234.91,170.83,0.0,email,paypal,completed,Canada,Sports & Outdoors
TXN000125,CUST04717,PROD0171,2023-08-15,9,492.76,0.0,4434.84,2439.18,1995.66,37.18,email,apple_pay,completed,France,Sports & Outdoors
TXN000126,CUST04230,PROD0059,2024-09-11,9,210.97,0.05,1803.79,854.46,949.33,0.0,direct,credit_card,completed,USA,Clothing
TXN000127,CUST06765,PROD0216,2023-01-31,1,1191.59,0.05,1132.01,893.69,238.32,11.04,paid_search,paypal,completed,Italy,Electronics
TXN000128,CUST01068,PROD0290,2024-08-05,1,877.15,0.0,877.15,657.86,219.29,12.21,paid_search,credit_card,completed,USA,Electronics
TXN000129,CUST01508,PROD0056,2023-05-06,1,33.75,0.15,28.69,21.94,6.75,10.69,paid_search,paypal,completed,Germany,Books
TXN000130,CUST07286,PROD0073,2024-08-24,1,67.51,0.0,67.51,30.38,37.13,13.85,social_media,credit_card,completed,Germany,Clothing
TXN000131,CUST02251,PROD0497,2022-11-23,1,164.04,0.05,155.84,73.82,82.02,13.65,paid_search,paypal,completed,USA,Clothing
TXN000132,CUST06178,PROD0107,2023-06-30,1,291.18,0.05,276.62,131.03,145.59,0.0,organic_search,credit_card,completed,USA,Clothing
TXN000133,CUST07280,PROD0438,2022-11-24,1,64.88,0.25,48.66,32.44,16.22,0.0,social_media,credit_card,completed,France,Toys & Games
TXN000134,CUST03629,PROD0358,2022-09-26,2,139.99,0.1,251.98,167.98,84.0,41.96,organic_search,paypal,completed,Italy,Home & Kitchen
TXN000135,CUST02995,PROD0055,2023-05-02,1,188.93,0.0,188.93,85.02,103.91,13.66,email,credit_card,completed,USA,Clothing
TXN000136,CUST02892,PROD0280,2023-01-03,6,285.83,0.15,1457.73,771.72,686.01,32.04,referral,credit_card,completed,Canada,Clothing
TXN000137,CUST03954,PROD0103,2024-06-08,2,265.07,0.05,503.63,238.56,265.07,13.32,organic_search,credit_card,completed,USA,Clothing
TXN000138,CUST02469,PROD0121,2024-04-23,1,413.88,0.0,413.88,310.41,103.47,25.65,organic_search,debit_card,completed,Germany,Electronics
TXN000139,CUST07034,PROD0077,2023-02-08,1,316.34,0.2,253.07,189.8,63.27,15.26,social_media,credit_card,cancelled,France,Home & Kitchen
TXN000140,CUST03695,PROD0347,2024-12-26,1,266.22,0.0,266.22,119.8,146.42,17.87,paid_search,debit_card,completed,UK,Clothing
TXN000141,CUST00220,PROD0490,2024-12-14,5,1039.96,0.0,5199.8,3899.85,1299.95,5.13,social_media,credit_card,completed,Spain,Electronics
TXN000142,CUST02437,PROD0317,2024-11-02,1,233.18,0.1,209.86,104.93,104.93,2.27,social_media,paypal,completed,UK,Clothing
TXN000143,CUST02476,PROD0438,2023-11-04,1,64.88,0.05,61.64,32.44,29.2,0.0,organic_search,debit_card,completed,Spain,Toys & Games
TXN000144,CUST06003,PROD0211,2023-04-21,1,48.46,0.0,48.46,24.23,24.23,21.03,email,paypal,completed,Spain,Toys & Games
TXN000145,CUST06261,PROD0336,2022-12-18,10,52.69,0.1,474.21,342.5,131.71,141.75,email,debit_card,completed,USA,Books
TXN000146,CUST06844,PROD0460,2022-01-22,5,40.19,0.0,200.95,100.45,100.5,43.65,social_media,paypal,completed,USA,Toys & Games
TXN000147,CUST07365,PROD0032,2023-12-08,4,67.22,0.0,268.88,107.56,161.32,70.96,email,apple_pay,refunded,Germany,Beauty & Health
TXN000148,CUST06537,PROD0342,2023-10-01,1,234.25,0.0,234.25,105.41,128.84,14.58,social_media,paypal,cancelled,France,Clothing
TXN000149,CUST02088,PROD0125,2023-12-07,2,670.1,0.0,1340.2,1005.16,335.04,29.21,organic_search,credit_card,completed,France,Electronics
TXN000150,CUST02812,PROD0145,2023-10-25,1,338.79,0.15,287.97,186.33,101.64,17.66,organic_search,credit_card,completed,France,Sports & Outdoors
TXN000151,CUST04445,PROD0299,2022-06-29,3,49.34,0.15,125.82,96.21,29.61,10.04,organic_search,credit_card,completed,UK,Books
TXN000152,CUST00581,PROD0212,2024-02-14,3,61.65,0.15000000000000002,157.21,110.97,46.24,0.0,paid_search,credit_card,completed,Germany,Home & Kitchen
TXN000153,CUST06003,PROD0241,2023-02-11,4,51.22,0.1,184.39,133.16,51.23,62.64,direct,paypal,completed,Spain,Books
TXN000154,CUST03692,PROD0499,2023-08-20,1,37.65,0.1,33.88,16.94,16.94,16.9,referral,credit_card,completed,Germany,Clothing
TXN000155,CUST07396,PROD0403,2023-02-19,1,27.48,0.05,26.11,16.49,9.62,5.54,referral,paypal,completed,USA,Home & Kitchen
TXN000156,CUST05544,PROD0467,2022-02-02,1,320.26,0.0,320.26,192.16,128.1,6.13,social_media,paypal,completed,Spain,Home & Kitchen
TXN000157,CUST05571,PROD0314,2024-09-20,5,247.76,0.05,1176.86,557.45,619.41,45.9,social_media,paypal,completed,Sweden,Clothing
TXN000158,CUST01402,PROD0396,2022-07-11,7,35.05,0.05,233.08,110.39,122.69,0.0,organic_search,paypal,completed,USA,Clothing
TXN000159,CUST07640,PROD0195,2023-10-31,1,83.69,0.0,83.69,46.03,37.66,13.26,social_media,credit_card,completed,USA,Sports & Outdoors
TXN000160,CUST07727,PROD0400,2024-09-27,4,367.07,0.05,1394.87,1101.2,293.67,1.38,social_media,credit_card,completed,USA,Electronics
TXN000161,CUST04665,PROD0401,2022-10-03,1,44.52,0.0,44.52,17.81,26.71,22.95,organic_search,credit_card,completed,Spain,Beauty & Health
TXN000162,CUST01590,PROD0493,2023-04-21,1,267.24,0.05,253.88,146.98,106.9,0.0,organic_search,paypal,completed,Canada,Sports & Outdoors
TXN000163,CUST00711,PROD0385,2023-03-09,1,136.22,0.05,129.41,81.73,47.68,0.0,direct,paypal,completed,Italy,Home & Kitchen
TXN000164,CUST06147,PROD0481,2022-05-03,1,132.63,0.05,126.0,79.58,46.42,13.66,paid_search,paypal,completed,Germany,Home & Kitchen
TXN000165,CUST05018,PROD0009,2023-05-04,1,330.65,0.0,330.65,181.86,148.79,24.35,direct,credit_card,completed,UK,Sports & Outdoors
TXN000166,CUST01209,PROD0189,2023-07-08,1,25.97,0.05,24.67,10.39,14.28,12.45,social_media,credit_card,completed,USA,Beauty & Health
TXN000167,CUST06361,PROD0283,2022-02-10,4,160.22,0.2,512.7,384.52,128.18,0.0,social_media,paypal,completed,USA,Home & Kitchen
TXN000168,CUST01358,PROD0041,2023-07-18,1,56.06,0.05,53.26,36.44,16.82,11.29,referral,apple_pay,completed,UK,Books
TXN000169,CUST01467,PROD0484,2022-05-08,1,127.09,0.0,127.09,57.19,69.9,18.33,social_media,paypal,completed,Sweden,Clothing
TXN000170,CUST04475,PROD0107,2024-10-07,2,291.18,0.0,582.36,262.06,320.3,19.44,organic_search,credit_card,completed,France,Clothing
TXN000171,CUST03847,PROD0219,2023-12-21,1,25.16,0.15000000000000002,21.39,16.35,5.04,0.0,referral,paypal,refunded,Sweden,Books
TXN000172,CUST04982,PROD0076,2022-03-24,1,462.43,0.05,439.31,254.34,184.97,7.02,email,debit_card,completed,USA,Sports & Outdoors
TXN000173,CUST04082,PROD0213,2024-07-24,1,22.58,0.0,22.58,14.68,7.9,9.03,organic_search,paypal,completed,USA,Books
TXN000174,CUST06597,PROD0026,2023-02-12,1,128.68,0.05,122.25,57.91,64.34,4.47,referral,paypal,completed,USA,Clothing
TXN000175,CUST00047,PROD0451,2022-10-07,2,110.09,0.0,220.18,99.08,121.1,34.18,social_media,paypal,completed,UK,Clothing
TXN000176,CUST03000,PROD0330,2022-11-04,1,21.81,0.15,18.54,13.09,5.45,18.93,paid_search,debit_card,completed,Spain,Home & Kitchen
TXN000177,CUST06492,PROD0180,2023-11-12,3,22.39,0.2,53.74,36.93,16.81,13.86,organic_search,debit_card,completed,USA,Sports & Outdoors
TXN000178,CUST04295,PROD0176,2022-04-24,1,222.64,0.0,222.64,100.19,122.45,6.05,organic_search,debit_card,cancelled,UK,Clothing
TXN000179,CUST07884,PROD0055,2022-03-27,4,188.93,0.0,755.72,340.08,415.64,98.39,organic_search,paypal,completed,Netherlands,Clothing
TXN000180,CUST07800,PROD0465,2023-12-05,1,825.72,0.05,784.43,619.29,165.14,4.17,organic_search,credit_card,completed,USA,Electronics
TXN000181,CUST07650,PROD0410,2024-12-19,1,148.68,0.1,133.81,66.91,66.9,19.17,organic_search,credit_card,completed,France,Clothing
TXN000182,CUST07801,PROD0356,2023-07-13,1,455.31,0.0,455.31,341.48,113.83,7.82,direct,credit_card,completed,USA,Electronics
TXN000183,CUST04197,PROD0196,2023-04-22,2,198.6,0.0,397.2,238.32,158.88,3.33,direct,debit_card,completed,USA,Home & Kitchen
TXN000184,CUST03894,PROD0057,2024-11-25,1,147.37,0.0,147.37,66.32,81.05,13.9,organic_search,apple_pay,completed,UK,Clothing
TXN000185,CUST03993,PROD0404,2022-10-23,2,10.96,0.05,20.82,14.24,6.58,0.0,organic_search,debit_card,completed,Italy,Books
TXN000186,CUST00072,PROD0074,2022-10-22,1,1130.42,0.0,1130.42,847.82,282.6,11.19,referral,credit_card,completed,USA,Electronics
TXN000187,CUST01654,PROD0431,2024-10-20,10,197.23,0.0,1972.3,887.5,1084.8,211.41,email,apple_pay,completed,UK,Clothing
TXN000188,CUST01429,PROD0118,2023-12-18,6,164.51,0.0,987.06,394.8,592.26,25.11,paid_search,credit_card,completed,France,Beauty & Health
TXN000189,CUST01068,PROD0083,2022-03-21,1,54.19,0.05,51.48,35.22,16.26,3.38,social_media,apple_pay,cancelled,USA,Books
